End Date,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
01/31/2020,2020.0,1.0,Idaho,Female,25-34 years,0.0,46.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Massachusetts,All Sexes,0-17 years,0.0,46.0,14.0,0.0,8.5,16.5
01/31/2020,2020.0,1.0,Missouri,Male,55-64 years,0.0,461.0,28.0,0.0,17.0,33.0
01/31/2020,2020.0,1.0,Michigan,Female,25-34 years,0.0,48.0,216.5,0.0,25.5,236.5
01/31/2020,2020.0,1.0,New York,Male,All Ages,0.0,4612.0,405.0,0.0,34.0,440.0
01/31/2020,2020.0,1.0,Illinois,Male,1-4 years,0.0,3087.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Nebraska,All Sexes,All Ages,0.0,1562.0,130.0,0.0,29.0,159.0
01/31/2020,2020.0,1.0,South Dakota,Female,45-54 years,0.0,10.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Nebraska,Female,All Ages,0.0,772.0,61.0,0.0,18.0,79.0
01/31/2020,2020.0,1.0,Florida,All Sexes,5-14 years,0.0,32.0,52.333333333333336,0.0,9.0,68.66666666666667
01/31/2020,2020.0,1.0,Kansas,Male,35-44 years,0.0,32.0,43.66666666666667,0.0,0.0,58.33333333333333
01/31/2020,2020.0,1.0,California,Female,40-49 years,0.0,333.0,35.0,0.0,13.0,48.0
01/31/2020,2020.0,1.0,Puerto Rico,All Sexes,50-64 years,0.0,386.0,39.0,0.0,6.5,43.0
01/31/2020,2020.0,1.0,Puerto Rico,Male,30-39 years,0.0,65.0,26.0,0.0,0.0,46.6
01/31/2020,2020.0,1.0,Arkansas,Male,45-54 years,0.0,112.0,13.0,0.0,0.0,50.2
01/31/2020,2020.0,1.0,Louisiana,Female,0-17 years,0.0,21.0,0.0,0.0,0.0,53.8
01/31/2020,2020.0,1.0,Montana,All Sexes,55-64 years,0.0,116.0,28.5,0.0,0.0,57.4
01/31/2020,2020.0,1.0,Louisiana,All Sexes,75-84 years,0.0,1002.0,57.0,0.0,0.0,61.0
01/31/2020,2020.0,1.0,Vermont,Male,Under 1 year,0.0,742.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,New Jersey,Male,55-64 years,0.0,482.0,25.0,0.0,0.0,28.0
